"","Hospital Name","City","State","County Name","Heart Attack Mortality","Heart Attack Readmission","Heart Failure Mortality","Heart Failure Readmission","Pneumonia Mortality","Pneumonia Readmission"
"2399","ST MARY'S MEDICAL CENTER","BLUE SPRINGS","MO","JACKSON","104","101","132","147","318","333"
"2400","CITIZENS MEMORIAL HOSPITAL","BOLIVAR","MO","POLK","56","52","124","135","194","200"
"2401","SSM ST JOSEPH HOSPITAL WEST","LAKE SAINT LOUIS","MO","SAINT CHARLES","104","65","294","350","177","193"
"2402","OZARKS COMMUNITY HOSPITAL","SPRINGFIELD","MO","GREENE","16","14","42","42","136","145"
"2403","CALLAWAY COMMUNITY HOSPITAL","FULTON","MO","CALLAWAY","10","6","53","63","79","87"
"2404","ST ALEXIUS HOSPITAL","SAINT LOUIS","MO","SAINT LOUIS CITY","25","20","147","163","128","129"
"2405","SAINT LUKES CANCER INSTITUTE","KANSAS CITY","MO","JACKSON","1","1","Not Available","3","8","7"
"2406","RESEARCH BELTON HOSPITAL","BELTON","MO","CASS","27","22","42","51","86","86"
"2407","SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL","LEES SUMMIT","MO","JACKSON","128","113","254","294","299","314"
"2408","PROGRESS WEST HEALTHCARE CENTER","O FALLON","MO","SAINT CHARLES","22","16","79","97","95","95"
"2409","COMMUNITY HOSPITAL ASSOCIATION","FAIRFAX","MO","ATCHISON","11","8","53","51","135","137"
"2410","ADVANCED HEALTHCARE MEDICAL CENTER","ELLINGTON","MO","REYNOLDS","2","2","22","28","21","22"
"2411","PUTNAM COUNTY MEMORIAL HOSPITAL","UNIONVILLE","MO","PUTNAM","6","5","47","50","64","66"
"2412","SULLIVAN COUNTY MEMORIAL HOSPITAL","MILAN","MO","SULLIVAN","2","Not Available","29","30","65","62"
"2413","PERSHING MEMORIAL HOSPITAL","BROOKFIELD","MO","LINN","4","2","88","108","103","109"
"2414","WASHINGTON COUNTY MEMORIAL HOSPITAL","POTOSI","MO","WASHINGTON","2","1","69","81","141","157"
"2415","WRIGHT MEMORIAL HOSPITAL","TRENTON","MO","GRUNDY","17","7","98","124","164","160"
"2416","SCOTLAND COUNTY  HOSPITAL","MEMPHIS","MO","SCOTLAND","9","8","38","45","137","157"
"2417","PERRY COUNTY MEMORIAL HOSPITAL","PERRYVILLE","MO","PERRY","6","3","58","61","180","188"
"2418","HARRISON COUNTY COMMUNITY HOSPITAL","BETHANY","MO","HARRISON","2","2","32","36","77","88"
"2419","HERMANN AREA DISTRICT HOSPITAL","HERMANN","MO","GASCONADE","2","Not Available","44","55","76","80"
"2420","MERCY HOSPITAL AURORA","AURORA","MO","LAWRENCE","4","4","30","41","73","87"
"2421","MERCY HOSPITAL CASSVILLE","CASSVILLE","MO","BARRY","4","2","20","30","48","64"
"2422","SALEM MEMORIAL DISTRICT HOSPITAL","SALEM","MO","DENT","16","6","48","46","211","214"
"2423","LINCOLN COUNTY MEDICAL CENTER","TROY","MO","LINCOLN","4","Not Available","58","53","111","111"
"2424","LAFAYETTE REGIONAL HEALTH CENTER","LEXINGTON","MO","LAFAYETTE","15","7","40","44","113","121"
"2425","HEDRICK MEDICAL CENTER","CHILLICOTHE","MO","LIVINGSTON","9","7","55","70","145","150"
"2426","CASS MEDICAL CENTER","HARRISONVILLE","MO","CASS","12","9","62","85","148","162"
"2427","BARTON COUNTY MEMORIAL HOSPITAL","LAMAR","MO","BARTON","21","11","73","80","183","181"
"2428","MERCY MCCUNE BROOKS HOSPITAL","CARTHAGE","MO","JASPER","21","15","71","77","110","121"
"2429","RAY COUNTY MEMORIAL HOSPITAL","RICHMOND","MO","RAY","15","7","69","81","97","103"
"2430","NORTHWEST MEDICAL CENTER","ALBANY","MO","GENTRY","22","20","37","45","77","85"
"2431","COX MONETT HOSPITAL","MONETT","MO","BARRY","8","6","21","26","68","76"
"2432","STE GENEVIEVE COUNTY MEMORIAL HOSPITAL","SAINTE GENEVIEVE","MO","SAINTE GENEVIEVE","13","14","94","114","94","94"
"2433","FREEMAN NEOSHO HOSPITAL","NEOSHO","MO","NEWTON","13","4","99","112","133","133"
"2434","CARROLL COUNTY MEMORIAL HOSPITAL","CARROLLTON","MO","CARROLL","6","5","93","123","146","163"
"2435","PIKE COUNTY MEMORIAL HOSPITAL","LOUISIANA","MO","PIKE","4","4","75","82","79","80"
"2436","MERCY ST FRANCIS HOSPITAL","MOUNTAIN VIEW","MO","HOWELL","3","3","25","26","208","246"
"2437","CHILDRENS MERCY HOSPITAL","KANSAS CITY","MO","JACKSON","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"2438","ST PETER'S HOSPITAL","HELENA","MT","LEWIS AND CLARK","90","90","148","156","284","295"
"2439","BILLINGS CLINIC HOSPITAL","BILLINGS","MT","YELLOWSTONE","269","317","409","521","389","408"
"2440","BENEFIS HOSPITALS INC","GREAT FALLS","MT","CASCADE","175","185","336","373","337","351"
"2441","ST PATRICK HOSPITAL","MISSOULA","MT","MISSOULA","258","389","228","281","297","310"
"2442","ST JAMES HEALTHCARE","BUTTE","MT","SILVER BOW","57","44","143","152","195","204"
"2443","COMMUNITY MEDICAL CENTER INC","MISSOULA","MT","MISSOULA","27","28","87","108","73","78"
"2444","NORTHERN MONTANA HOSPITAL","HAVRE","MT","HILL","17","8","88","99","173","203"
"2445","VA MONTANA HEALTHCARE SYSTEM","FORT HARRISON                 ","MT","LEWIS AND CLARK","27","13","90","107","127","143"
"2446","ST VINCENT HEALTHCARE","BILLINGS","MT","YELLOWSTONE","292","327","305","367","421","449"
"2447","KALISPELL REGIONAL MEDICAL CENTER","KALISPELL","MT","FLATHEAD","164","179","207","244","324","342"
"2448","BOZEMAN DEACONESS HOSPITAL","BOZEMAN","MT","GALLATIN","85","103","160","171","209","229"
"2449","P H S INDIAN HOSPITAL AT BROWNING - BLACKFEET","BROWNING","MT","GLACIER","2","1","26","27","70","83"
"2450","GREAT FALLS CLINIC MEDICAL CENTER","GREAT FALLS","MT","CASCADE","Not Available","Not Available","2","2","22","20"
"2451","HEALTH CENTER NORTHWEST","KALISPELL","MT","FLATHEAD","Not Available","Not Available","1","2","11","10"
"2452","POPLAR COMMUNITY HOSPITAL","POPLAR","MT","ROOSEVELT","2","1","6","9","15","22"
"2453","DAHL MEMORIAL HEALTHCARE ASSOC","EKALAKA","MT","CARTER","Not Available","Not Available","2","2","3","3"
"2454","MISSOURI RIVER MEDICAL CENTER","FORT BENTON","MT","CHOUTEAU","Not Available","Not Available","3","4","1","1"
"2455","MCCONE COUNTY HEALTH CENTER","CIRCLE","MT","MCCONE","Not Available","Not Available","5","4","11","10"
"2456","MOUNTAINVIEW MEDICAL CENTER","WHITE SULPHUR SPRING","MT","MEAGHER","Not Available","Not Available","7","9","23","23"
"2457","TETON MEDICAL CENTER","CHOTEAU","MT","TETON","4","1","16","19","23","26"
"2458","ROOSEVELT MEDICAL CENTER","CULBERTSON","MT","ROOSEVELT","Not Available","Not Available","5","4","13","11"
"2459","PRAIRIE COMMUNITY HOSPITAL","TERRY","MT","PRAIRIE","Not Available","Not Available","Not Available","Not Available","2","1"
"2460","GARFIELD COUNTY HEALTH CENTER","JORDAN","MT","GARFIELD","Not Available","Not Available","1","1","3","3"
"2461","BIG SANDY MEDICAL CENTER","BIG SANDY","MT","CHOUTEAU","Not Available","Not Available","1","1","22","19"
"2462","PHILLIPS COUNTY MEDICAL CENTER","MALTA","MT","PHILLIPS","2","3","19","28","50","50"
"2463","PIONEER MEDICAL CENTER","BIG TIMBER","MT","SWEET GRASS","Not Available","Not Available","8","9","12","11"
"2464","FRANCES MAHON DEACONESS HOSPITAL","GLASGOW","MT","VALLEY","3","Not Available","25","34","58","65"
"2465","LIVINGSTON HEALTHCARE","LIVINGSTON","MT","PARK","13","5","54","60","86","94"
"2466","BARRETT MEMORIAL HOSPITAL","DILLON","MT","BEAVERHEAD","9","5","45","49","68","79"
"2467","RUBY VALLEY HOSPITAL","SHERIDAN","MT","MADISON","Not Available","Not Available","25","37","31","35"
"2468","ST JOHN'S LUTHERAN HOSPITAL","LIBBY","MT","LINCOLN","9","3","47","57","78","77"
"2469","SHERIDAN MEMORIAL HOSPTIAL","PLENTYWOOD","MT","SHERIDAN","5","2","23","27","67","75"
"2470","CLARK FORK VALLEY HOSPITAL","PLAINS","MT","SANDERS","13","12","26","30","36","36"
"2471","PONDERA MEDICAL CENTER","CONRAD","MT","PONDERA","6","3","12","14","31","37"
"2472","ST LUKE COMMUNITY HOSPITAL","RONAN","MT","LAKE","10","9","32","45","84","89"
"2473","BEARTOOTH BILLINGS CLINIC","RED LODGE","MT","CARBON","2","1","26","32","38","44"
"2474","ROSEBUD HEALTH CARE CENTER","FORSYTH","MT","ROSEBUD","3","2","23","24","53","55"
"2475","MARIAS MEDICAL CENTER","SHELBY","MT","TOOLE","8","6","19","24","90","102"
"2476","STILLWATER COMMUNITY HOSPITAL","COLUMBUS","MT","STILLWATER","4","4","11","11","42","43"
"2477","GLENDIVE MEDICAL CENTER","GLENDIVE","MT","DAWSON","11","6","40","42","71","66"
"2478","LIBERTY COUNTY HOSPITAL","CHESTER","MT","LIBERTY","1","1","5","4","34","36"
"2479","COMMUNITY HOSPITAL OF ANACONDA","ANACONDA","MT","DEER LODGE","9","9","62","69","84","88"
"2480","NORTH VALLEY HOSPITAL","WHITEFISH","MT","FLATHEAD","21","18","31","34","91","93"
"2481","NORTHERN ROCKIES MEDICAL CENTER","CUT BANK","MT","GLACIER","1","1","12","19","40","45"
"2482","BIG HORN CO MEMORIAL HOSPITAL","HARDIN","MT","BIG HORN","1","Not Available","15","16","37","36"
"2483","P H S INDIAN HOSPITAL CROW / NORTHERN CHEYENNE","CROW AGENCY","MT","BIG HORN","Not Available","Not Available","5","9","23","27"
"2484","MARCUS DALY MEMORIAL HOSPITAL - CAH","HAMILTON","MT","RAVALLI","14","10","60","74","114","124"
"2485","TRINITY HOSPITAL","WOLF POINT","MT","ROOSEVELT","3","2","15","20","43","50"
"2486","DANIELS MEMORIAL HOSPITAL","SCOBEY","MT","DANIELS","1","Not Available","6","6","20","21"
"2487","PROVIDENCE ST JOSEPH MEDICAL CENTER","POLSON","MT","LAKE","4","6","30","34","37","42"
"2488","SIDNEY HEALTH CENTER","SIDNEY","MT","RICHLAND","8","4","42","51","72","77"
"2489","CENTRAL MONTANA MEDICAL CENTER","LEWISTOWN","MT","FERGUS","13","8","50","53","138","144"
"2490","ROUNDUP MEMORIAL HEALTHCARE","ROUNDUP","MT","MUSSELSHELL","1","1","15","16","23","24"
"2491","HOLY ROSARY HEALTHCARE","MILES CITY","MT","CUSTER","7","4","71","94","142","155"
"2492","BRYANLGH MEDICAL CENTER","LINCOLN","NE","LANCASTER","483","576","625","772","850","916"
"2493","GOOD SAMARITAN HOSPITAL","KEARNEY","NE","BUFFALO","209","238","279","354","338","353"
"2494","THE NEBRASKA MEDICAL CENTER","OMAHA","NE","DOUGLAS","299","314","416","520","495","542"
"2495","SAINT ELIZABETH REGIONAL MEDICAL CENTER","LINCOLN","NE","LANCASTER","140","148","402","476","628","687"
"2496","ST FRANCIS MEDICAL CENTER","GRAND ISLAND","NE","HALL","143","111","280","306","460","486"
"2497","CREIGHTON UNIVERSITY MEDICAL CENTER - SAINT JOSEPH","OMAHA","NE","DOUGLAS","263","303","187","276","139","147"
"2498","MARY LANNING MEMORIAL HOSPITAL","HASTINGS","NE","ADAMS","72","49","233","257","304","313"
"2499","THE NEBRASKA METHODIST HOSPITAL","OMAHA","NE","DOUGLAS","221","234","435","504","548","570"
"2500","ALEGENT HEALTH BERGAN MERCY MEDICAL CENTER","OMAHA","NE","DOUGLAS","216","249","442","555","363","374"
"2501","REGIONAL WEST MEDICAL CENTER","SCOTTSBLUFF","NE","SCOTTS BLUFF","88","52","172","189","275","293"
"2502","GREAT PLAINS REGIONAL MEDICAL CENTER","NORTH PLATTE","NE","LINCOLN","64","31","155","178","312","323"
"2503","OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM)","OMAHA                         ","NE","DOUGLAS","63","72","202","268","211","254"
"2504","FREMONT AREA MEDICAL CENTER","FREMONT","NE","DODGE","56","50","160","169","260","262"
"2505","ALEGENT HEALTH IMMANUEL MEDICAL CENTER","OMAHA","NE","DOUGLAS","144","149","209","253","229","235"
"2506","ALEGENT HEALTH MIDLANDS HOSPITAL","PAPILLION","NE","SARPY","74","69","178","207","196","205"
"2507","COLUMBUS COMMUNITY HOSPITAL","COLUMBUS","NE","PLATTE","33","20","110","127","207","216"
"2508","FAITH REGIONAL HEALTH SERVICES","NORFOLK","NE","MADISON","200","206","207","238","269","275"
"2509","LINCOLN SURGICAL HOSPITAL","LINCOLN","NE","LANCASTER","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"2510","NEBRASKA HEART HOSPITAL","LINCOLN","NE","LANCASTER","268","430","254","527","17","31"
"2511","NEBRASKA ORTHOPAEDIC HOSPITAL","OMAHA","NE","DOUGLAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"2512","ALEGENT HEALTH LAKESIDE HOSPITAL","OMAHA","NE","DOUGLAS","124","105","251","284","267","272"
"2513","MIDWEST SURGICAL HOSPITAL LLC","OMAHA","NE","DOUGLAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"2514","BELLEVUE MEDICAL CENTER","BELLEVUE","NE","SARPY","24","20","41","51","64","75"
"2515","NEBRASKA SPINE HOSPITAL, LLC","OMAHA","NE","DOUGLAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"2516","HARLAN COUNTY HEALTH SYSTEM","ALMA","NE","HARLAN","7","4","10","13","32","34"
"2517","FILLMORE COUNTY HOSPITAL","GENEVA","NE","FILLMORE","2","4","32","38","46","41"
"2518","PAWNEE COUNTY MEMORIAL HOSPITAL","PAWNEE CITY","NE","PAWNEE","Not Available","Not Available","4","5","21","25"
"2519","NIOBRARA VALLEY HOSPITAL","LYNCH","NE","BOYD","Not Available","Not Available","2","1","15","14"
"2520","THAYER COUNTY HEALTH SERVICES","HEBRON","NE","THAYER","8","9","42","40","45","47"
"2521","KIMBALL HEALTH SERVICES","KIMBALL","NE","KIMBALL","Not Available","Not Available","19","21","47","50"
"2522","KEARNEY COUNTY HEALTH SERVICES HOSPITAL","MINDEN","NE","KEARNEY","9","3","11","12","18","18"
"2523","SAUNDERS MEDICAL CENTER","WAHOO","NE","SAUNDERS","1","1","16","17","78","85"
"2524","HENDERSON HEALTH CARE SERVICES","HENDERSON","NE","YORK","3","1","18","18","42","42"
"2525","COMMUNITY MEMORIAL HOSPITAL","SYRACUSE","NE","OTOE","2","Not Available","21","19","26","31"
"2526","GARDEN COUNTY HEALTH SERVICES","OSHKOSH","NE","GARDEN","1","1","3","2","18","18"
"2527","FRANKLIN COUNTY MEMORIAL HOSPITAL","FRANKLIN","NE","FRANKLIN","3","1","21","23","25","30"
"2528","GENOA COMMUNITY HOSPITAL","GENOA","NE","NANCE","Not Available","Not Available","8","7","16","19"
"2529","GOTHENBURG MEMORIAL HOSPITAL","GOTHENBURG","NE","DAWSON","5","2","16","13","39","43"
"2530","ANNIE JEFFREY MEMORIAL COUNTY HEALTH CENTER","OSCEOLA","NE","POLK","5","1","32","37","40","41"
"2531","BRODSTONE MEMORIAL HOSP","SUPERIOR","NE","NUCKOLLS","16","10","35","40","61","66"
"2532","WEBSTER COUNTY COMMUNITY HOSPITAL","RED CLOUD","NE","WEBSTER","3","Not Available","14","18","40","47"
"2533","TILDEN COMMUNITY HOSPITAL","TILDEN","NE","ANTELOPE","Not Available","Not Available","1","1","29","32"
"2534","MORRILL COUNTY COMMUNITY HOSPITAL","BRIDGEPORT","NE","MORRILL","1","Not Available","19","16","35","36"
"2535","JEFFERSON COMMUNITY HEALTH CENTER","FAIRBURY","NE","JEFFERSON","7","5","33","33","66","67"
"2536","MEMORIAL HOSPITAL","AURORA","NE","HAMILTON","9","7","21","16","71","68"
"2537","OAKLAND MERCY HOSPITAL","OAKLAND","NE","BURT","7","5","21","22","56","56"
"2538","ST FRANCIS MEMORIAL HOSPITAL","WEST POINT","NE","CUMING","4","5","72","78","81","81"
"2539","ALEGENT HEALTH MEMORIAL HOSPITAL","SCHUYLER","NE","COLFAX","4","1","15","12","40","41"
"2540","NEMAHA COUNTY HOSPITAL","AUBURN","NE","NEMAHA","Not Available","Not Available","13","13","55","44"
"2541","BROWN COUNTY HOSPITAL","AINSWORTH","NE","BROWN","9","7","10","11","49","53"
"2542","ANTELOPE MEMORIAL HOSPITAL","NELIGH","NE","ANTELOPE","5","4","17","15","76","78"
"2543","COZAD COMMUNITY HOSPITAL","COZAD","NE","DAWSON","Not Available","Not Available","20","19","27","23"
"2544","LITZENBERG MEMORIAL COUNTY HOSPITAL","CENTRAL CITY","NE","MERRICK","3","1","38","46","116","117"
"2545","AVERA ST ANTHONY'S HOSPITAL","O' NEILL","NE","HOLT","17","10","41","50","147","159"
"2546","WARREN MEMORIAL HOSPITAL","FRIEND","NE","SALINE","Not Available","Not Available","3","2","4","5"
"2547","AVERA CREIGHTON HOSPITAL","CREIGHTON","NE","KNOX","7","4","8","10","88","100"
"2548","BUTLER COUNTY HEALTH CARE CENTER","DAVID CITY","NE","BUTLER","10","4","43","41","61","61"
"2549","ROCK COUNTY HOSPITAL","BASSETT","NE","ROCK","2","1","7","12","31","35"
"2550","BOONE COUNTY HEALTH CENTER","ALBION","NE","BOONE","24","15","38","41","206","217"
"2551","CALLAWAY DISTRICT HOSPITAL","CALLAWAY","NE","CUSTER","13","8","10","13","41","40"
"2552","YORK GENERAL HOSPITAL","YORK","NE","YORK","5","4","61","62","116","112"
"2553","HOWARD COUNTY MEDICAL CENTER","ST PAUL","NE","HOWARD","5","3","22","24","74","74"
"2554","MEMORIAL HEALTH CARE SYSTEMS","SEWARD","NE","SEWARD","5","2","41","43","113","122"
"2555","DUNDY COUNTY HOSPITAL","BENKELMAN","NE","DUNDY","4","1","7","6","46","44"
"2556","CHADRON COMMUNITY HOSPITAL AND HEALTH SERVICES","CHADRON","NE","DAWES","7","4","33","37","68","67"
"2557","ST MARY'S COMMUNITY HOSPITAL","NEBRASKA CITY","NE","OTOE","8","6","24","24","84","91"
"2558","WEST HOLT MEMORIAL HOSPITAL","ATKINSON","NE","HOLT","3","2","22","22","25","28"
"2559","CHERRY COUNTY HOSPITAL","VALENTINE","NE","CHERRY","4","3","11","10","73","74"
"2560","PROVIDENCE MEDICAL CENTER","WAYNE","NE","WAYNE","12","11","38","36","73","73"
"2561","ALEGENT HEALTH PLAINVIEW HOSPITAL","PLAINVIEW","NE","PIERCE","4","4","8","7","42","45"
"2562","OSMOND GENERAL HOSPITAL","OSMOND","NE","PIERCE","5","2","20","22","60","62"
"2563","TRI VALLEY HEALTH SYSTEM","CAMBRIDGE","NE","FURNAS","6","2","39","47","128","140"
"2564","PENDER COMMUNITY HOSPITAL","PENDER","NE","THURSTON","12","7","37","39","95","95"
"2565","JOHNSON COUNTY HOSPITAL","TECUMSEH","NE","JOHNSON","1","1","27","32","59","56"
"2566","CHASE COUNTY COMMUNITY HOSPITAL","IMPERIAL","NE","CHASE","5","5","18","18","39","36"
"2567","COMMUNITY MEDICAL CENTER, INC","FALLS CITY","NE","RICHARDSON","6","3","42","40","74","82"
"2568","VALLEY COUNTY HEALTH SYSTEM","ORD","NE","VALLEY","8","5","27","25","83","85"
"2569","CRETE AREA MEDICAL CENTER","CRETE","NE","SALINE","1","1","34","35","45","46"
"2570","OGALLALA COMMUNITY HOSPITAL","OGALLALA","NE","KEITH","8","3","57","63","55","62"
"2571","PERKINS COUNTY HEALTH SERVICES","GRANT","NE","PERKINS","1","1","12","13","41","44"
"2572","SIDNEY REGIONAL MEDICAL CENTER","SIDNEY","NE","CHEYENNE","8","3","38","43","94","97"
"2573","GORDON MEMORIAL HOSPITAL DISTRICT","GORDON","NE","SHERIDAN","3","2","19","24","35","36"
"2574","MEMORIAL COMMUNITY HOSPITAL","BLAIR","NE","WASHINGTON","9","3","44","46","87","84"
"2575","BOX BUTTE GENERAL HOSPITAL","ALLIANCE","NE","BOX BUTTE","8","5","64","75","144","134"
"2576","LEXINGTON REGIONAL HEALTH CENTER","LEXINGTON","NE","DAWSON","11","6","40","40","104","112"
"2577","PHELPS MEMORIAL HEALTH CENTER","HOLDREGE","NE","PHELPS","18","8","60","55","133","139"
"2578","COMMUNITY HOSPITAL","MCCOOK","NE","RED WILLOW","10","6","68","72","127","128"
"2579","BEATRICE COMMUNITY HOSPITAL & HEALTH CENTER, INC","BEATRICE","NE","GAGE","11","7","63","63","129","124"
"2580","JENNIE M MELHAM MEMORIAL MEDICAL CENTER","BROKEN BOW","NE","CUSTER","8","9","65","78","185","204"
"2581","CHILDREN'S HOSPITAL & MEDICAL CENTER","OMAHA","NE","DOUGLAS","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"2582","RENOWN REGIONAL MEDICAL CENTER","RENO","NV","WASHOE","509","510","427","528","415","434"
"2583","SUNRISE HOSPITAL AND MEDICAL CENTER","LAS VEGAS","NV","CLARK","328","344","422","538","383","398"
"2584","NORTH VISTA HOSPITAL","NORTH LAS VEGAS","NV","CLARK","29","19","120","155","94","100"
"2585","BANNER CHURCHILL COMMUNITY HOSPITAL","FALLON","NV","CHURCHILL","11","5","93","109","158","172"
"2586","UMC OF SOUTHERN NEVADA","LAS VEGAS","NV","CLARK","57","59","132","168","144","153"
"2587","NORTHEASTERN NEVADA REGIONAL HOSPITAL","ELKO","NV","ELKO","49","31","77","85","241","254"
"2588","SAINT MARY'S REGIONAL MEDICAL CENTER","RENO","NV","WASHOE","226","208","276","335","342","377"
"2589","SAINT ROSE DOMINICAN HOSPITAL - DE LIMA","HENDERSON","NV","CLARK","64","43","174","206","140","163"
"2590","CARSON TAHOE REGIONAL MEDICAL CENTER","CARSON CITY","NV","CARSON CITY","317","319","383","460","458","494"
"2591","NYE REGIONAL MEDICAL CENTER","TONOPAH","NV","NYE","4","2","9","13","8","6"
"2592","VALLEY HOSPITAL MEDICAL CENTER","LAS VEGAS","NV","CLARK","215","210","296","357","251","267"
"2593","DESERT SPRINGS HOSPITAL","LAS VEGAS","NV","CLARK","203","198","272","304","298","300"
"2594","VA SIERRA NEVADA HEALTHCARE SYSTEM","RENO                          ","NV","WASHOE","76","54","197","221","181","197"
"2595","NORTHERN NEVADA MEDICAL CENTER","SPARKS","NV","WASHOE","35","28","80","88","104","115"
"2596","MOUNTAINVIEW HOSPITAL","LAS VEGAS","NV","CLARK","280","267","516","631","497","499"
"2597","SUMMERLIN HOSPITAL MEDICAL CENTER","LAS VEGAS","NV","CLARK","148","157","307","370","355","366"
"2598","SAINT ROSE DOMINICAN HOSPITAL - SIENA CAMPUS","HENDERSON","NV","CLARK","251","259","336","402","261","275"
"2599","SPRING VALLEY HOSPITAL MEDICAL CENTER","LAS VEGAS","NV","CLARK","146","136","168","191","201","231"
"2600","SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER","LAS VEGAS","NV","CLARK","41","28","117","143","160","180"
"2601","RENOWN SOUTH MEADOWS MEDICAL CENTER","RENO","NV","CARSON CITY","20","13","56","65","134","145"
"2602","SIERRA SURGERY HOSPITAL","CARSON CITY","NV","CARSON CITY","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"2603","SAINT ROSE DOMINICAN HOSPITAL - SAN MARTIN CAMPUS","LAS VEGAS","NV","CLARK","46","49","152","187","161","170"
"2604","CENTENNIAL HILLS HOSPITAL MEDICAL CENTER","LAS VEGAS","NV","CLARK","80","62","130","154","101","103"
"2605","CARSON VALLEY MEDICAL CENTER","GARDNERVILLE","NV","DOUGLAS","12","8","47","61","102","127"
"2606","MESA VIEW REGIONAL HOSPITAL","MESQUITE","NV","CLARK","14","5","32","54","63","71"
"2607","HUMBOLDT GENERAL HOSPITAL","WINNEMUCCA","NV","HUMBOLDT","2","4","22","30","35","29"
"2608","BOULDER CITY HOSPITAL","BOULDER CITY","NV","CLARK","7","4","22","30","71","73"
"2609","DESERT VIEW REGIONAL MEDICAL CENTER","PAHRUMP","NV","NYE","16","13","52","65","75","73"
"2610","CONCORD HOSPITAL","CONCORD","NH","MERRIMACK","248","242","527","662","666","705"
"2611","MARY HITCHCOCK MEMORIAL HOSPITAL","LEBANON","NH","GRAFTON","729","1014","420","534","317","360"
"2612","LAKES REGION GENERAL HOSPITAL","LACONIA","NH","BELKNAP","100","71","190","193","243","248"
"2613","ST JOSEPH HOSPITAL","NASHUA","NH","HILLSBOROUGH","152","125","354","400","330","326"
"2614","ELLIOT HOSPITAL","MANCHESTER","NH","HILLSBOROUGH","182","164","345","391","475","471"
"2615","FRISBIE MEMORIAL HOSPITAL","ROCHESTER","NH","STRAFFORD","55","29","172","203","240","245"
"2616","PARKLAND MEDICAL CENTER","DERRY","NH","ROCKINGHAM","110","96","255","305","230","237"
"2617","WENTWORTH-DOUGLASS HOSPITAL","DOVER","NH","STRAFFORD","135","114","392","460","283","290"
"2618","CHESHIRE MEDICAL CENTER","KEENE","NH","CHESHIRE","93","69","213","244","344","337"
"2619","SOUTHERN NH MEDICAL CENTER","NASHUA","NH","HILLSBOROUGH","161","133","298","352","315","330"
"2620","EXETER HOSPITAL INC","EXETER","NH","ROCKINGHAM","178","146","353","414","298","300"
"2621","PORTSMOUTH REGIONAL HOSPITAL","PORTSMOUTH","NH","ROCKINGHAM","247","362","197","230","174","171"
"2622","CATHOLIC MEDICAL CENTER","MANCHESTER","NH","HILLSBOROUGH","388","531","399","545","385","401"
"2623","UPPER CONNECTICUT VALLEY HOSPITAL","COLEBROOK","NH","COOS","16","12","40","42","61","60"
"2624","COTTAGE HOSPITAL","WOODSVILLE","NH","GRAFTON","21","12","45","50","93","95"
"2625","LITTLETON REGIONAL HOSPITAL","LITTLETON","NH","GRAFTON","20","12","66","71","134","136"
"2626","WEEKS MEDICAL CENTER","LANCASTER","NH","COOS","29","19","70","86","128","140"
"2627","NEW LONDON HOSPITAL","NEW LONDON","NH","MERRIMACK","17","10","78","90","116","133"
"2628","ALICE PECK DAY MEMORIAL HOSPITAL","LEBANON","NH","GRAFTON","Not Available","Not Available","10","12","35","33"
"2629","FRANKLIN REGIONAL HOSPITAL","FRANKLIN","NH","MERRIMACK","44","34","76","80","175","183"
"2630","MEMORIAL HOSPITAL, THE","NORTH CONWAY","NH","CARROLL","27","24","85","89","102","98"
"2631","VALLEY REGIONAL HOSPITAL","CLAREMONT","NH","SULLIVAN","26","18","64","78","97","94"
"2632","MONADNOCK COMMUNITY HOSPITAL","PETERBOROUGH","NH","HILLSBOROUGH","35","26","68","76","163","163"
"2633","ANDROSCOGGIN VALLEY HOSPITAL","BERLIN","NH","COOS","44","18","86","98","108","106"
"2634","SPEARE MEMORIAL HOSPITAL","PLYMOUTH","NH","GRAFTON","22","10","61","71","103","111"
"2635","HUGGINS HOSPITAL","WOLFEBORO","NH","CARROLL","39","19","87","90","150","145"
"2636","HACKENSACK UNIVERSITY MEDICAL CENTER","HACKENSACK","NJ","BERGEN","712","978","1479","1889","837","854"
"2637","NEWARK BETH ISRAEL MEDICAL CENTER","NEWARK","NJ","ESSEX","251","383","601","831","248","254"
"2638","PALISADES MEDICAL CTR-NY PRESBYTERIAN HEALTHCARE S","NORTH BERGEN","NJ","HUDSON","196","123","413","477","302","288"
"2639","HUNTERDON MEDICAL CENTER","FLEMINGTON","NJ","HUNTERDON","159","112","301","332","358","350"
"2640","ST MARY'S HOSPITAL, PASSAIC","PASSAIC","NJ","PASSAIC","111","98","759","868","534","527"
"2641","HOLY NAME MEDICAL CENTER","TEANECK","NJ","BERGEN","383","292","862","1003","759","749"
